EXP No,Flag,MAC Address,Advertising Data,Manufacturer Specific Data,SS at 0.02m,SS at 0.5m,SS at 1m,SS at 3m,SS at 5m,DM at 0.02m,DM at 0.5m,DM at 1m,DM at 3m,DM at 5m,Detected
159,0,E8:33:10:AB:1D:C0,0X1EFF4C00121910EE046A3C7D7899AA023C66CF93A170DD0BC626A72E0C348F,0X121910EE046A3C7D7899AA023C66CF93A170DD0BC626A72E0C348F,-24,-48,-58,-71,-78,0.308,1.06,2.976,3.728,7.615,Yes
160,0,CB:05:67:BE:F2:9D,0X1EFF4C001219100F162733EB284CA0084AF8231184D0638CAA24511BE609BA,0X1219100F162733EB284CA0084AF8231184D0638CAA24511BE609BA,-27,-49,-63,-70,-83,0.261,0.806,0.991,3.923,6.593,Yes
161,0,CB:05:67:BE:F2:9D,0X1EFF4C001219100F162733EB284CA0084AF8231184D0638CAA24511BE6094E,0X1219100F162733EB284CA0084AF8231184D0638CAA24511BE6094E,-27,-47,-61,-72,-83,0.227,1.702,1.872,5.019,5.965,Yes
162,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
163,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
164,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
165,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
166,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
167,0,E6:97:D6:BA:C3:DA,0X1EFF4C0012191060D6C2598EA86EDAE003AAB5C16079E5252E6EE4711B03DA,0X12191060D6C2598EA86EDAE003AAB5C16079E5252E6EE4711B03DA,-28,-48,-63,-73,-79,0.382,0.938,2.861,4.398,4.904,Yes
168,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
169,0,D8:20:1C:20:C1:E0,0X1EFF4C001219104D594D225A97D273C243B8AFD5B1E7F9CA339502606B00E0,0X1219104D594D225A97D273C243B8AFD5B1E7F9CA339502606B00E0,-25,-49,-63,-70,-83,0.247,1.37,1.264,3.798,7.888,Yes
170,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
171,0,F9:65:74:41:91:D7,0X1EFF4C00121910C7CE58F34DF045A16246FA3C53AF0DE2A08A81AF037B00D7,0X121910C7CE58F34DF045A16246FA3C53AF0DE2A08A81AF037B00D7,-22,-47,-58,-73,-79,0.444,1.93,1.69,3.169,6.104,Yes
172,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
173,0,D7:CC:14:52:F6:02,0X1EFF4C001219109044C9A1694A8D6AB15CA336A625715E3EF7651007240002,0X1219109044C9A1694A8D6AB15CA336A625715E3EF7651007240002,-23,-47,-55,-73,-81,0.349,0.814,2.705,2.073,6.91,Yes
174,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
175,0,CC:35:4C:9A:AB:F6,0X1EFF4C0012191082A7CD6D1FBE3DC51981405FE6D9B42D7137A44990BA03F6,0X12191082A7CD6D1FBE3DC51981405FE6D9B42D7137A44990BA03F6,-22,-46,-53,-73,-80,0.34,0.854,2.996,2.628,5.446,Yes
176,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
177,0,FB:EF:04:1E:AC:07,0X1EFF4C00121910A5C82371BB79D3026452271A146109E4837526BABCEE0107,0X121910A5C82371BB79D3026452271A146109E4837526BABCEE0107,-23,-48,-54,-74,-84,0.26,1.433,2.117,4.161,6.302,Yes
178,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
179,0,E6:75:20:25:D3:6C,0X1EFF4C00121910CE3308BA50FF12CA587EF3370A8E0B1170DD2AA8B10552C3,0X121910CE3308BA50FF12CA587EF3370A8E0B1170DD2AA8B10552C3,-25,-45,-60,-71,-82,0.393,1.941,1.584,3.666,4.343,Yes
180,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
181,0,D8:14:55:3A:F7:63,0X1EFF4C00121910C7200AF77317EE0C85BBA232011EF0BA653309A8CA104D6D,0X121910C7200AF77317EE0C85BBA232011EF0BA653309A8CA104D6D,-25,-49,-52,-74,-80,0.469,0.866,2.226,3.901,4.553,Yes
182,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
183,0,EC:48:8A:A6:98:6B,0X1EFF4C00121910660BC0E7D5A7C294EA52FFF0797124A8BC71BADAE062006B,0X121910660BC0E7D5A7C294EA52FFF0797124A8BC71BADAE062006B,-27,-45,-53,-74,-76,0.361,1.644,3.113,5.098,4.224,Yes
184,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
185,0,E3:1F:F8:5D:1B:EB,0X1EFF4C00121910967F20B53E7EC60496511C3E5CCD50200B9E989E65C802EB,0X121910967F20B53E7EC60496511C3E5CCD50200B9E989E65C802EB,-25,-47,-56,-72,-79,0.323,1.599,1.095,4.023,6.714,Yes
186,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
187,0,E6:31:E8:A1:2B:7A,0X1EFF4C0012191031345CE0A87400ECD2055A47C944AB8BB385EA11DE259A0B,0X12191031345CE0A87400ECD2055A47C944AB8BB385EA11DE259A0B,-24,-47,-53,-71,NA,0.447,1.668,1.381,5.26,NA,Yes
188,0,E6:31:E8:A1:2B:7A,0X1EFF4C0012191031345CE0A87400ECD2055A47C944AB8BB385EA11DE259A34,0X12191031345CE0A87400ECD2055A47C944AB8BB385EA11DE259A34,-27,-45,-54,-70,NA,0.262,1.196,3.06,4.289,NA,Yes
189,0,E6:31:E8:A1:2B:7A,0X1EFF4C0012191031345CE0A87400ECD2055A47C944AB8BB385EA11DE259A2F,0X12191031345CE0A87400ECD2055A47C944AB8BB385EA11DE259A2F,-25,-47,-60,-74,NA,0.467,1.391,1.925,3.742,NA,Yes
190,0,D3:E5:34:22:AC:8D,0X1EFF4C00121910EB300356A85EDE281F7FA0355A6EBD88DF1608244A6EBC2D,0X121910EB300356A85EDE281F7FA0355A6EBD88DF1608244A6EBC2D,-23,-46,-52,-71,NA,0.265,1.295,1.162,3.596,NA,Yes
191,0,D3:E5:34:22:AC:8D,0X1EFF4C00121910EB300356A85EDE281F7FA0355A6EBD88DF1608244A6EBCA8,0X121910EB300356A85EDE281F7FA0355A6EBD88DF1608244A6EBCA8,-23,-47,-59,-73,NA,0.416,1.708,2.97,5.273,NA,Yes
192,0,D3:E5:34:22:AC:8D,0X1EFF4C00121910EB300356A85EDE281F7FA0355A6EBD88DF1608244A6EBC7C,0X121910EB300356A85EDE281F7FA0355A6EBD88DF1608244A6EBC7C,-23,-46,-56,-74,NA,0.369,1.502,2.063,2.976,NA,Yes
193,0,F5:2A:32:EB:45:87,0X1EFF4C001219107AA23EF87065011EAAC69704AFCB348BEE1A9CFF740400AC,0X1219107AA23EF87065011EAAC69704AFCB348BEE1A9CFF740400AC,-24,-45,-61,-73,-78,0.474,1.381,2.591,4.919,8.459,Yes
194,0,F5:2A:32:EB:45:87,0X1EFF4C001219107AA23EF87065011EAAC69704AFCB348BEE1A9CFF74040056,0X1219107AA23EF87065011EAAC69704AFCB348BEE1A9CFF74040056,-27,-45,-62,-73,-79,0.462,0.791,0.894,4.395,6.667,Yes
195,0,C9:AE:3F:66:82:A1,0X1EFF4C00121910E9FAA31336CAFB54070E07255EA6288AB0F7EE226A660A22,0X121910E9FAA31336CAFB54070E07255EA6288AB0F7EE226A660A22,-23,-48,-58,-71,-76,0.494,1.301,1.662,4.301,7.447,Yes
196,0,C9:AE:3F:66:82:A1,0X1EFF4C00121910E9FAA31336CAFB54070E07255EA6288AB0F7EE226A660AE8,0X121910E9FAA31336CAFB54070E07255EA6288AB0F7EE226A660AE8,-24,-46,-55,-71,-76,0.359,1.111,2.824,2.612,7.814,Yes
197,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
198,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
199,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
200,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
